,lc_min,lc_max,lc_mean,lc_std,lc_p5,lc_perc50,lc_perc95,tic_id
775,1896.2467041015625,2957.576171875,2316.489505346097,288.5152222575027,1975.4857971191407,2244.7281494140625,2837.4019165039062,304196197
776,2385.61279296875,4094.40478515625,3232.551581518534,551.4912092796527,2515.6065795898435,3121.1678466796875,4031.4535888671876,304844648
777,1655.7528076171875,3106.588623046875,2894.9104550743423,271.381746187326,2123.357873535156,2980.8660888671875,3014.172412109375,306272819
778,2017.0118408203125,2546.36767578125,2123.177597490023,48.46606856540652,2048.52978515625,2125.369140625,2191.7101440429688,317325489
779,1780.8380126953125,2081.138671875,1906.991735805447,62.4726693557634,1816.9145751953124,1907.352294921875,1997.0432495117188,349091359
780,2913.240478515625,4220.80419921875,3421.605661414576,365.0463164424836,2973.883386230469,3345.739990234375,4076.838977050781,362384415
781,3050.95361328125,3876.6923828125,3184.6112171729005,52.79413493307327,3105.9249877929688,3190.3941650390625,3251.435510253906,363265095
782,3347.392333984375,4929.81396484375,3448.6799136189074,46.341057222233566,3393.095458984375,3448.133056640625,3499.58935546875,364523302
783,4775.26123046875,5415.10498046875,5122.536584148452,168.4341742045509,4836.8466796875,5160.236328125,5333.22265625,374456194
784,14779.490234375,16506.18359375,15740.869370444658,358.41569226628025,15261.8505859375,15665.9423828125,16315.322265625,374732772
785,11613.7353515625,13571.1826171875,12080.098015299542,200.22184821487357,11738.090917968751,12104.9404296875,12414.07490234375,381093768
786,6248.41650390625,9289.740234375,6711.951349759768,216.039944722308,6379.87744140625,6767.384765625,6960.83251953125,382700651
787,13924.935546875,14584.09375,14234.44746291538,147.22049014082876,14055.7265625,14179.0283203125,14492.8798828125,382701193
788,8485.19921875,9655.81640625,9094.692586944602,296.8474301076434,8636.2373046875,9113.9287109375,9513.2939453125,386952124
789,1964.9232177734375,2131.394287109375,2028.486623951724,15.906044375082317,2001.0087890625,2029.09765625,2053.533935546875,391995932
790,9501.4404296875,14854.26953125,10293.239270687376,608.2316236618747,9569.87890625,10163.2265625,11285.7529296875,399151944
791,11784.6953125,14766.0810546875,14419.771817057073,497.47619386288136,13385.14111328125,14561.380859375,14683.10703125,418720347
792,6801.376953125,10038.0634765625,9376.704778115496,707.4478004449438,7217.423828125,9631.796875,9858.654296875,442567883
793,2759.6728515625,5711.81787109375,2987.5540417814004,112.7679475599118,2829.039794921875,2989.298583984375,3124.10400390625,442583304
794,1018.0223999023438,2049.44384765625,1184.2343156972743,75.08834365654958,1067.29892578125,1196.8773193359375,1282.9374267578123,457996506
795,4894.85595703125,5749.9521484375,5232.454159919989,189.93451916109674,4984.711083984374,5203.14111328125,5545.712011718751,7082633
796,8983.734375,10443.3017578125,9415.957691592263,239.24219912128902,9069.236328125,9404.478515625,9774.0916015625,49541462
797,4304.7021484375,5340.3544921875,4671.133133482015,184.29493713176998,4462.08837890625,4608.892333984375,5011.9837646484375,60436937
798,11414.41015625,14860.306640625,11861.960527691064,229.74748001921859,11523.200390625,11836.6591796875,12219.30380859375,62124646
799,1292.70654296875,1822.9559326171875,1553.0926716317167,123.57568208110405,1408.9663452148436,1519.4146728515625,1770.1116088867188,79662102
800,3595.4873046875,4456.02197265625,3719.0673230520965,25.554099718790987,3681.3521728515625,3718.197265625,3759.2247802734373,90723908
801,1432.6026611328125,3145.88330078125,2901.3493847533873,327.9775037922474,1976.0913940429687,3008.725341796875,3062.056713867187,90911675
802,13308.892578125,14884.8759765625,13924.777253547418,288.80627575513313,13479.923828125,13936.216796875,14343.63037109375,91853165
803,6573.18359375,8401.5615234375,7415.698295449105,511.30437021253476,6675.3790283203125,7386.97216796875,8221.591162109375,101433435
804,8628.6826171875,12541.1142578125,11221.81037828797,899.8006431268342,9406.5888671875,11475.33349609375,12331.071533203125,112401201
805,4954.64697265625,5278.75146484375,5103.879597688767,52.31522008758581,5011.64306640625,5118.5107421875,5172.22998046875,118053599
806,10710.00390625,11429.1572265625,11090.172191394082,177.53246193968124,10803.6865234375,11108.1533203125,11347.8798828125,118195419
807,4840.6962890625,6799.28076171875,5121.1074177604805,156.03185181770888,4883.6435546875,5139.0126953125,5333.986328125,120334451
808,7619.4384765625,9104.2861328125,8466.90711462902,470.54459263057737,7709.280517578125,8611.9658203125,9019.47578125,161083755
809,5308.07958984375,9096.76953125,7514.172854118804,1176.9209252772043,5399.634521484375,7883.15625,8882.14873046875,182894226
810,2814.839111328125,4437.84375,3588.9413533900247,386.20346226302735,3034.5956420898438,3586.8966064453125,4216.26025390625,194025647
811,2569.40576171875,2997.285400390625,2763.2011415764,100.7033753884579,2619.9715576171875,2761.1563720703125,2928.2263793945312,253742057
812,3252.349365234375,5627.7177734375,3317.0679461228633,46.58231906986409,3277.9775146484376,3313.8779296875,3354.6451416015625,261283885
813,20354.62890625,23256.91796875,20948.656068970387,400.8028957909193,20439.541796875,20882.3779296875,21584.52578125,273305007
814,4137.328125,7888.869140625,5506.625187922986,528.1553972662653,4341.408447265625,5752.0361328125,5928.04296875,316582319
815,3471.748046875,6527.18212890625,5989.714510618995,750.3298941472646,4302.008251953125,6356.746337890625,6463.811718749999,318649597
816,656.3240966796875,1189.1396484375,1048.5453634339033,98.78014648273427,752.1502746582032,1078.6123657226562,1117.9308837890624,320173862
817,2632.138916015625,4193.58447265625,3389.0485045616806,440.9650801882983,2697.36962890625,3381.788330078125,4098.201171875,337274166
818,1571.9163818359375,3461.905029296875,2279.771688320069,501.7949613066091,1639.5688110351562,2131.540283203125,3290.4444458007815,339258033
819,3425.235107421875,4384.6171875,3784.6959154017886,179.72117413439992,3482.330810546875,3848.614501953125,4020.7197265625,344553484
820,1537.6971435546875,3470.4462890625,2182.045666098065,509.63840327398646,1606.7142333984375,1997.227294921875,3267.73828125,351126671
821,8737.0771484375,10567.0732421875,9676.57687952248,464.9650671405584,8870.64453125,9694.3818359375,10394.927734375,351556896
822,2334.21240234375,6588.33447265625,3393.4702781916467,938.880509893258,2455.9862426757813,3052.2166748046875,5383.632153320314,352478596
823,11247.5537109375,12201.68359375,11688.016310603249,190.4118977330918,11387.0951171875,11694.91796875,12025.875781249999,356814191
824,764.1770629882812,8338.9189453125,7345.739643492596,1656.0463342287921,2729.386962890625,7988.97314453125,8273.7978515625,365366508
825,1908.050537109375,7363.29150390625,6302.601469567967,1188.5021607786723,2769.48291015625,6686.2138671875,7175.56591796875,365956683
826,6848.81494140625,12665.6884765625,7146.989825937457,171.08355131722965,6924.530615234375,7148.06787109375,7374.624316406249,396969225
827,4273.73583984375,9105.0341796875,6060.541058787846,1312.835640055359,4398.843017578125,5686.998779296875,8714.77978515625,404378743
828,11775.087890625,14665.1357421875,13420.203550216887,923.5981615467788,11886.900390625,13618.7724609375,14523.6962890625,464410508
829,1409.690185546875,4200.20556640625,3510.003893676409,546.8877805313002,2030.34033203125,3736.08740234375,3819.361083984375,11119600
830,3369.69873046875,4975.69091796875,4694.677508249726,279.68775378666345,4028.5986328125,4787.9873046875,4845.24609375,12915124
831,1457.092041015625,2679.8154296875,2349.081249557772,338.09936395137584,1596.107666015625,2525.0107421875,2627.68310546875,14617089
832,5035.60302734375,9703.9599609375,8717.441311950333,1140.5765969320532,6134.1455078125,9263.5654296875,9523.8310546875,15795549
833,6155.7021484375,10332.6953125,9037.042817821823,798.8649490878421,6719.934838867188,9277.77587890625,9711.20732421875,26656583
834,4892.10888671875,6784.02392578125,5647.410526487366,507.4256865954297,5033.131396484375,5530.30810546875,6539.90107421875,27315670
835,1604.55126953125,3011.60498046875,2725.272006997549,265.18302693003915,1976.5691528320312,2813.90966796875,2891.217016601562,27843942
836,6349.52734375,7054.66455078125,6790.610988301657,183.723258411373,6439.323779296875,6863.15380859375,6992.846826171875,28359831
837,562.1234130859375,3301.703369140625,2910.2076511484297,519.4530643023876,1453.02685546875,3047.738037109375,3239.59765625,40378419
838,17381.234375,24487.1484375,17877.647296871517,293.56942884364616,17522.951171875,17850.888671875,18333.2607421875,41840710
839,1495.813720703125,4122.021484375,3704.72680759214,386.3130290920625,2769.361572265625,3811.07373046875,3926.880615234375,41998476
840,6457.02880859375,8190.28173828125,7376.021155068104,538.4987785878063,6561.59755859375,7418.18505859375,8091.4626953125,47626069
841,-32.83878707885742,138.73287963867188,46.04487488076475,29.0993661326751,8.120229721069336,40.197959899902344,94.21372528076171,48446609
842,2088.09375,3848.303466796875,3498.2784008468857,396.2101211394794,2245.3396484375,3637.028564453125,3794.1077636718746,48499902
843,2299.567626953125,3019.686767578125,2792.141289367775,166.96787713230782,2369.9834838867187,2858.95556640625,2930.518579101563,63006634
844,2404.7587890625,3103.0869140625,2963.82166390596,111.2404756953241,2646.291296386719,2995.081787109375,3021.3804443359377,63074282
845,2321.826904296875,2981.7119140625,2672.4952523945517,174.79934245339166,2404.029821777344,2682.90283203125,2927.3119995117186,63205800
846,24389.30859375,42326.66015625,34645.84285169734,4129.6999455058285,26768.923828125,35694.51953125,39870.83984375,63820329
847,1595.2799072265625,2343.220947265625,1896.9681311803988,186.29642325960236,1661.169189453125,1854.82080078125,2222.611242675781,69546708
848,3267.789794921875,7165.80908203125,6271.923945570892,1042.6158383248305,3737.3578125000004,6789.359375,7071.138403320312,93316328
849,9723.65625,10558.8994140625,9957.350442316063,105.21752153304456,9799.10751953125,9948.82861328125,10115.028271484376,103580569
850,14216.5546875,16448.37109375,14804.122077324853,309.62940953904086,14354.176806640626,14778.66796875,15279.000732421875,103687176
