,tic_id,Rsq_k,R_avg,B_k,P_avg,P_k,A_avg,A_k,B_avg
911,170735592,[0.96431316 0.9574995  0.97392423 0.9611766  0.89320412],0.9500235210998017,[0.46384882 0.44054532 0.4586603  0.47405608 0.3809507 ],3000.8838091117113,[2984.46381561 3026.99846956 3015.14997647 2969.33520028 3008.47158364],0.2859778828659596,[0.41766148 0.33856489 0.36994464 0.2210485  0.0826699 ],0.44361224198502136
912,172422394,[0.99756285 0.80582152 0.99334776 0.80882488 0.99262984],0.919637372114081,[       nan 0.37579041        nan 0.38042735        nan],852.6079541928135,[927.0392087  866.27318241 756.55641351 864.63005071 848.54091564],0.12047979982662013,[-0.04926453  0.42884463 -0.04896598  0.29881133 -0.02702645],0.37810887915530417
913,184089083,[0.99804332 0.99800014 0.99795045 0.9979022  0.99783612],0.9979464468735129,[0.47084576 0.46980082 0.46777319 0.46727582 0.46572033],136.58306872645102,[136.16993672 136.38037263 136.5870233  136.78798651 136.99002448],0.8099694147239684,[0.88690356 0.85006768 0.80800368 0.77245111 0.73242104],0.4682831851330567
914,184246521,[0.90140432 0.85262278 0.91185786 0.86601174 0.89357186],0.8850937106301722,[0.38709563 0.38062985 0.38875973 0.38101388 0.38527363],889.5519919167385,[887.19619599 888.35107247 888.88589227 891.02594862 892.30085023],0.36876482775539976,[0.47297708 0.42616772 0.34519255 0.32178242 0.27770437],0.384554542580577
915,198280388,[0.99869227 0.99868547 0.99868515 0.99868852 0.998684  ],0.9986870860599864,[0.47630818 0.47674285 0.47717566 0.47752462 0.47810309],175.50668426253804,[175.82477024 175.66395487 175.50881001 175.34906922 175.18681698],0.88880953946227,[0.93705864 0.91284867 0.88695712 0.86275246 0.8444308 ],0.47717088341624325
916,198388252,[0.99877192 0.99883707 0.99872442 0.99878503 0.9986559 ],0.9987548654782747,[0.47345081 0.47903204 0.47204507 0.47769676 0.47083912],142.14700740149686,[141.68021387 141.91727148 142.14074708 142.38718012 142.60962445],0.8837777037362955,[0.91029004 0.92424617 0.87078928 0.88294397 0.83061906],0.47461275969155264
917,198407749,[0.99738611 0.99972386 0.99722137 0.99972814 0.99733458],0.9982788140978404,[0.3685752  0.55880271 0.36495781 0.56055744 0.36784053],300.361182777571,[301.06270577 300.75759945 300.27369637 300.34604827 299.36586403],0.49721870828809517,[0.28597868 0.87158101 0.25581012 0.82385907 0.24886467],0.44414673646876945
918,198408416,[0.99638042 0.99652097 0.9961983  0.99630891 0.99594091],0.996269903104259,[0.45331416 0.45746973 0.45182081 0.45612514 0.4505982 ],130.9728618942866,[130.43645199 130.70065241 130.97675718 131.23871471 131.51173319],0.872906769833128,[0.89766503 0.90831083 0.86209457 0.87120286 0.82526057],0.45386560806936743
919,199688409,[0.96995646 0.99018647 0.97047013 0.99017754 0.96993085],0.9781442895102638,[0.33655091 0.46857045 0.33899823 0.46930708 0.33964179],311.8031555851741,[312.49281854 312.07762675 311.9296457  311.38456312 311.13112382],0.45213304377353936,[0.2415094  0.81630042 0.22405912 0.76100067 0.21779561],0.3906136913324477
920,199716496,[0.83114714 0.8371702  0.83040698 0.83631207 0.82958811],0.8329248997861113,[0.36496924 0.36870154 0.3641103  0.36809341 0.36374511],376.5891187705196,[375.97413048 376.26346664 376.59292354 376.88262288 377.23245032],0.5868257058824871,[0.62037296 0.6059662  0.57212181 0.57733998 0.55832758],0.3659239197349473
921,219900027,[0.99703017 0.99762555 0.996892   0.99743177 0.99655548],0.9971069944197261,[0.44255295 0.47771539 0.44086846 0.4758727  0.43972753],186.0019615791422,[185.18393881 185.51928202 186.05837029 186.38546463 186.86275214],0.7347881745286546,[0.67670235 0.90048857 0.63822649 0.84785753 0.61066594],0.4553474042459249
922,224605072,[0.99855998 0.9994384  0.99854302 0.99941404 0.99848094],0.9988872745472982,[0.44078139 0.51531609 0.44020176 0.51334648 0.4395149 ],239.1902876186893,[238.51478176 238.78806856 239.25039701 239.54392084 239.85426992],0.6897161506252598,[0.60332805 0.90087587 0.56073259 0.84178437 0.54185986],0.469832123403112
923,229461186,[0.99832665 0.99844146 0.99833361 0.99844306 0.99834181],0.9983773189422491,[0.47011119 0.47557456 0.4703681  0.47582234 0.47077879],144.5492775204234,[144.61477819 144.58669642 144.54096049 144.5175124  144.48644011],0.8835384136430096,[0.91121374 0.92005849 0.87236452 0.87944045 0.83461487],0.47253099453585695
924,229650995,[0.99708788 0.99948375 0.99650834 0.98759838 0.9953209 ],0.995199849477309,[       nan 0.59990657 0.45523736 0.53080342 0.4939321 ],2623.9329299737083,[2854.80716963 2420.43056523 2689.71445949 2407.27428588 2747.43816964],0.12283390004382873,[-0.01704114  0.26230344  0.14825696  0.13094303  0.08970721],0.519969860522664
925,229712257,[0.99895835 0.99875777],0.9988580628582777,[0.47439335 0.46327185],7366.537142169589,[7306.52231483 7426.5519695 ],0.44634539461037565,[0.59532692 0.29736387],0.4688326000736714
926,229776723,[0.99912357 0.99943173 0.99896208 0.99929922 0.99871649],0.9991066183164232,[0.46670554 0.50546384 0.46386457 0.50270049 0.46144783],84.92839537572368,[84.31842244 84.59306837 84.93667841 85.22104079 85.57276686],0.8157698375531662,[0.75934445 0.94441569 0.73867155 0.91878635 0.71763116],0.4800364543396925
927,230079674,[0.99844248 0.99831198 0.9973431  0.9982778  0.99842124],0.9981593216963803,[0.4680275  0.46902024 0.46222487 0.46873798 0.47113245],490.48906795752475,[491.74906845 490.91005142 490.5165803  490.03565579 489.23398382],0.8148364083762045,[0.86432965 0.82049709 0.80560532 0.79914346 0.78460651],0.4678286083141042
